order,name,definition
0,Viewer,"The user has permission to view data"
1,Editor,"The user Has permission to insert, update, delete rows in tables. They can NOT modify the schema"
2,Manager,"The user has permission to assign roles to users in a schema. They can modify the schema including creating, editing, and removing tables and columns"
3,Owner,"The user has full permission to modify the schema and data stored within it"
4,Aggregator,"The user has permission to count table rows (unless <10) and view ontology data"
5,Count,"The user Has permission to count table rows and view ontology data"
6,Range,"The user has permission to count table rows, with a step-size of 10 (e.g. 10,20..120,130 etc.) and view ontology data"
7,Exists,"The user has permission to see if data exists given certain filters and view ontology data"
