tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,defaultValue,semantics,description,profiles
Jobs,,,,,,,,,,,,,"History of job, outputs, and errors",
Jobs,,id,string,1,TRUE,,,,,,,,A unique identifier of a run,
Jobs,,date of run,date,,,,,,,,,,Date the job was run,
Jobs,,ok,bool,,,,,,,,,,"If true, the job ran without failing. (Note: this does not mean it was free of warnings or errors)",
Jobs,,number of errors,int,,,,,,,,,,Total number of errors occurred during batch retrieval,
Jobs,,run errors,refback,,,,Job errors,,job,,,,Summary of errors from paginated API requests,
Jobs,,comments,text,,,,,,,,,,,
Job errors,,id,auto_id,1,,,,,,,,,,
Job errors,,job,ref,,TRUE,,Jobs,,,,,,,
Job errors,,type,ontology,,,,Error type,,,,,,,
Job errors,,message,string,,,,,,,,,,,
Jobs Rd3 mapping,Jobs,,,,,,,,,,,,,
Jobs Rd3 mapping,,total number of participants,int,,,,,,,,0,,,
Jobs Rd3 mapping,,number of participants added,int,,,,,,,,0,,,
Jobs Rd3 mapping,,number of participants updated,int,,,,,,,,0,,,
Jobs Gpap Api,Jobs,,,,,,,,,,,,,
Jobs Gpap Api,,Participant metadata summary,heading,,,,,,,,,,,
Jobs Gpap Api,,total number of participants,int,,,,,,,,,,The number of participants retrieved during the run,
Jobs Gpap Api,,number of new participants,int,,,,,,,,,,New participants since the last run,
Jobs Gpap Api,,number of updated participants,int,,,,,,,,,,Updated participants since the last run,
Jobs Gpap Api,,Experiment metadata summary,heading,,,,,,,,,,,
Jobs Gpap Api,,total number of experiments,int,,,,,,,,,,The number of experiments retrieved during the run,
Jobs Gpap Api,,number of new experiments,int,,,,,,,,,,New experiments since the last run,
Jobs Gpap Api,,number of updated experiments,int,,,,,,,,,,Updated experiments since the last run,
Jobs Ega Api,Jobs,,,,,,,,,,,,,
Jobs Ega Api,,Dataset metadata summary,heading,,,,,,,,,,,
Jobs Ega Api,,total number of datasets,int,,,,,,,,,,The number of datasets retrieved during the run,
Jobs Ega Api,,number of new datasets,int,,,,,,,,,,New datasets since the last run,
Jobs Ega Api,,number of updated datasets,int,,,,,,,,,,Updated datasets since the last run,
Jobs Ega Api,,Analyses metadata summary,heading,,,,,,,,,,,
Jobs Ega Api,,total number of analyses,int,,,,,,,,,,The number of analyses retrieved during the run,
Jobs Ega Api,,number of new analyses,int,,,,,,,,,,New analyses since the last run,
Jobs Ega Api,,number of updated analyses,int,,,,,,,,,,Updated analyses since the last run,
Jobs Ega Api,,Analysis_sample metadata summary,heading,,,,,,,,,,,
Jobs Ega Api,,total number of analysis_samples,int,,,,,,,,,,The number of analysis_samples retrieved during the run,
Jobs Ega Api,,number of new analysis_samples,int,,,,,,,,,,New analysis_samples since the last run,
Jobs Ega Api,,number of updated analysis_samples,int,,,,,,,,,,Updated analysis_samples since the last run,
Jobs Ega Api,,Experiments metadata summary,heading,,,,,,,,,,,
Jobs Ega Api,,total number of experiments,int,,,,,,,,,,The number of experiments retrieved during the run,
Jobs Ega Api,,number of new experiments,int,,,,,,,,,,New experiments since the last run,
Jobs Ega Api,,number of updated experiments,int,,,,,,,,,,Updated experiments since the last run,
Jobs Ega Api,,Run_sample metadata summary,heading,,,,,,,,,,,
Jobs Ega Api,,total number of run_samples,int,,,,,,,,,,The number of run_samples retrieved during the run,
Jobs Ega Api,,number of new run_samples,int,,,,,,,,,,New run_samples since the last run,
Jobs Ega Api,,number of updated run_samples,int,,,,,,,,,,Updated run_samples since the last run,
Jobs Ega Api,,Runs metadata summary,heading,,,,,,,,,,,
Jobs Ega Api,,total number of runs,int,,,,,,,,,,The number of runs retrieved during the run,
Jobs Ega Api,,number of new runs,int,,,,,,,,,,New runs since the last run,
Jobs Ega Api,,number of updated runs,int,,,,,,,,,,Updated runs since the last run,
Jobs Ega Api,,Sample_file metadata summary,heading,,,,,,,,,,,
Jobs Ega Api,,total number of sample_files,int,,,,,,,,,,The number of sample_files retrieved during the run,
Jobs Ega Api,,number of new sample_files,int,,,,,,,,,,New sample_files since the last run,
Jobs Ega Api,,number of updated sample_files,int,,,,,,,,,,Updated sample_files since the last run,
Jobs Ega Api,,Samples metadata summary,heading,,,,,,,,,,,
Jobs Ega Api,,total number of samples,int,,,,,,,,,,The number of samples retrieved during the run,
Jobs Ega Api,,number of new samples,int,,,,,,,,,,New samples since the last run,
Jobs Ega Api,,number of updated samples,int,,,,,,,,,,Updated samples since the last run,
Jobs Ega Api,,Studies metadata summary,heading,,,,,,,,,,,
