tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,defaultValue,semantics,description,profiles
Jobs Ega Api,,total number of studies,int,,,,,,,,,,The number of studies retrieved during the run,
Jobs Ega Api,,number of new studies,int,,,,,,,,,,New studies since the last run,
Jobs Ega Api,,number of updated studies,int,,,,,,,,,,Updated studies since the last run,
Jobs Ega Api,,Study_analysis_sample metadata summary,heading,,,,,,,,,,,
Jobs Ega Api,,total number of study_analysis_samples,int,,,,,,,,,,The number of study_analysis_samples retrieved during the run,
Jobs Ega Api,,number of new study_analysis_samples,int,,,,,,,,,,New study_analysis_samples since the last run,
Jobs Ega Api,,number of updated study_analysis_samples,int,,,,,,,,,,Updated study_analysis_samples since the last run,
Jobs Ega Api,,Study_experiment_run_sample metadata summary,heading,,,,,,,,,,,
Jobs Ega Api,,total number of study_experiment_run_samples,int,,,,,,,,,,The number of study_experiment_run_samples retrieved during the run,
Jobs Ega Api,,number of new study_experiment_run_samples,int,,,,,,,,,,New study_experiment_run_samples since the last run,
Jobs Ega Api,,number of updated study_experiment_run_samples,int,,,,,,,,,,Updated study_experiment_run_samples since the last run,
Jobs Ega Api,,Files metadata summary,heading,,,,,,,,,,,
Jobs Ega Api,,total number of files,int,,,,,,,,,,The number of files retrieved during the run,
Jobs Ega Api,,number of new files,int,,,,,,,,,,New files since the last run,
Jobs Ega Api,,number of updated files,int,,,,,,,,,,Updated files since the last run,
